Name,Type,Status,Repo,Languages,Topics,Boards,Description,Link,Include,Image
/IOTCONNECT Core C Library,library,stable,iotc-c-lib,C,"telemetry, commands",,The core C library forming the foundation for /IOTCONNECT in C.,https://github.com/avnet-iotconnect/iotc-c-lib,yes,assets/tech/c.svg
/IOTCONNECT Python Library,library,stable,iotc-python-lib,Python,"telemetry, commands",,Core Python library for /IOTCONNECT integrations.,https://github.com/avnet-iotconnect/iotc-python-lib,yes,assets/tech/python.svg
/IOTCONNECT C SDK for Azure RTOS,sdk,stable,iotc-azurertos-sdk,C,"telemetry, commands, ota, twin","B-U585I-IOT02A, B-L475E-IOT01A2, MIMXRT1060-EVKB, EV36W50A, CK-RK65N, ATSAME54-XPRO, AES-MC-SBC-IMXRT1176-G","C SDK and samples for Azure RTOS devices across ST, NXP, Microchip and Renesas eval boards.",https://github.com/avnet-iotconnect/iotc-azurertos-sdk,yes,
/IOTCONNECT DA16K SDK,sdk,stable,iotc-dialog-da16k-sdk,C,"telemetry, commands","US159-DA16600EVZ, US159-DA16200MEVZ, DA16200MOD-DEVKT, DA16600MOD-DEVKT",SDK for Renesas DA16200/DA16600 Wi-Fi modules.,https://github.com/avnet-iotconnect/iotc-dialog-da16k-sdk,yes,
/IOTCONNECT ModusToolbox SDK,sdk,stable,avnet-iotc-mtb-sdk,C,"telemetry, commands, ota","CY8CKIT-062-WIFI-BT, CY8CPROTO-062-4343W, CY8CKIT-062S2-AI",ModusToolbox SDK for /IOTCONNECT on Infineon PSoC devices.,https://github.com/avnet-iotconnect/avnet-iotc-mtb-sdk,yes,
/IOTCONNECT Python Lite SDK,sdk,stable,iotc-python-lite-sdk,Python,"telemetry, commands, ota","FRDM-IMX93, STM32MP135F-DK, ATSAMA5D27-SOM1-EK1",Full-featured Python SDK for /IOTCONNECT on embedded Linux.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk,yes,
Agrisense with AVR_IOT,sample,beta,,C,"cellular, sensors, telemetry, agriculture",EV70N78A,"Hackster guide for getting started with the AVR IoT Cellular Mini. It walks through setting up the board, activating the SIM, collecting sensor data and connecting to IOTCONNECT via the provided C SDK. The demo monitors temperature, light and button presses and sends telemetry to the cloud.",https://www.youtube.com/watch?v=OFP0efBtGyg,yes,
Astra Asset Tracker,sample,beta,iotc-lora-demos,C,"lora, telemetry, asset-tracking, sensors",STEVAL-ASTRA1B,"Guide for onboarding LoRaWAN devices to IOTCONNECT. It walks through creating templates and configuring device attributes such as temperature, pressure, humidity and accelerometer for ST ASTRA1B and NUCLEO-WL55JC boards, creating LoRaWAN devices in the portal and sending telemetry and commands.",https://github.com/avnet-iotconnect/iotc-lora-demos/blob/master/docs/iotc-lora-device-onboard.md,yes,
AVR-IOT mini Cellular,sample,beta,iotc-arduino-mchp-avr-sdk,C++,cellular,EV70N78A,IOTCONNECT C SDK example for the AVR IoT Cellular Mini board. The application records button presses and collects on‑board sensor readings (temperature and RGB light) and sends telemetry to IOTCONNECT. It also supports simple commands to control LEDs and guides you through provisioning the board and activating the cellular modem.,https://github.com/avnet-iotconnect/iotc-arduino-mchp-avr-sdk,yes,
Drone,sample,beta,,C++,"agriculture, uavoperations, drone",,Drone demo for /IOTCONNECT.,https://aws.amazon.com/marketplace/pp/prodview-cskaj6vsde6xu,yes,assets/listings/drone.png
Edge AI Inference Pipeline (Jetson Orin NX),sample,beta,iotc-jetson-demo,Python,"edge-ai, vision, npu","J4021, SEEED-j2021",This demo performs compute-intensive AI inference on the edge and sends the processed results to the cloud. IoTConnect then visualizes the inference output and system performance in real time.,https://github.com/avnet-iotconnect/iotc-jetson-demo,yes,
Edge AI Inference Pipeline (Jetson Orin NX),sample,beta,iotc-jetson-demo,Python,"edge-ai, vision, npu",ICAM-540-30W,This demo performs compute-intensive AI inference on the edge and sends the processed results to the cloud. IoTConnect then visualizes the inference output and system performance in real time.,https://github.com/avnet-iotconnect/iotc-jetson-demo,yes,
Edge AI Object Detection - Fruit,sample,beta,meta-iotconnect-docs,Python,"ai, vision, edge-ai, mpu",STM32MP135F-DK,"This demo features the STM32MP135, a cost-effective MPU running ST’s OpenSTLinux and X-Linux-AI packages. The device performs real-time object detection, locally identifying up to three objects and sending results to the cloud. The AI model can be toggled independently of the IOTCONNECT connection for uninterrupted functionality.",https://github.com/avnet-iotconnect/meta-iotconnect-docs/tree/main/Build/STM32MP1/mickledore-st-x-linux-ai-demo,yes,
Telehealth Mobile Gateway,sample,beta,iotc-gateway-mobile-app,Mobile,"ble, gateway, healthcare, telemetry",,"Telehealth demo using the IOTCONNECT mobile gateway application. Wearable or remote health sensors connect via Bluetooth to the mobile app, which forwards vital signs and events to IOTCONNECT for monitoring and visualisation.",https://github.com/avnet-iotconnect/iotc-gateway-mobile-app,yes,assets/listings/telehealth.png
Edge People Detection & Tracking with Ryzen 7 AI,sample,beta,,Python,"ai, vision, edge-ai, npu",SOM-6873,This platform runs AI inference using Ryzen’s CPU/GPU/NPU architecture to perform advanced vision processing at the edge. Inference output and system metrics are delivered to IoTConnect for cloud-level insight and device management.,https://www.advantech.com/en-us/products/e5f3ee70-5c26-4757-93f4-a9d4150a860f/som-6873/mod_1d0156b1-61b6-48fb-b768-549bb1be3c1c,yes,
EV Charging - Commercial,sample,beta,,C++,EV Charging,MSC SM2S-IMX8PLUS,"Collaborative demo with Witekio discussing the challenges and considerations in EV charging software. It highlights the need for load balancing, secure user authentication, remote monitoring and integration with backend management platforms for smart EV chargers.",https://witekio.com/blog/ev-charging-software/,yes,
EV Charging - Residential,sample,beta,iotc-evse-example,C,EV Charging,MIMXRT1060-EVKB,"Electric Vehicle Supply Equipment (EVSE) demo that connects a charging station to IOTCONNECT. It showcases how to monitor charging sessions, report energy consumption and control the charger via cloud commands, providing a starting point for building smart EV charging solutions.",https://github.com/avnet-iotconnect/iotc-evse-example,yes,
FPGA-Driven Industrial Gesture Recognition,sample,beta,,Python,"edge-ai, vision, gesture, fpga",AES-ZUB-1CG-DK-G,Uses the ZU1CG MPSoC’s FPGA fabric to perform vision-based industrial gesture recognition with custom edge-optimized logic. A trained American Sign Language (ASL) classification model using Vitis AI. Detected gestures drive industrial control actions while reporting telemetry to IOTCONNECT.,https://www.hackster.io/AlbertaBeef/asl-classification-with-vitis-ai-025765,yes,
"GGL Basic - Health, Serial",sample,beta,iotc-python-greengrass-sdk,Python,"greengrass, telemetry, commands, ota",STM32MP157F-DK2,"Python SDK for building AWS Greengrass components that integrate with IOTCONNECT. The SDK provides examples showing how to send telemetry, receive commands and perform OTA updates from IOTCONNECT.",https://github.com/avnet-iotconnect/iotc-python-greengrass-sdk,yes,
"GGL Basic - Health, Serial",sample,beta,iotc-python-greengrass-sdk,Python,"greengrass, telemetry, commands, ota",STM32MP257F-DK,"Python SDK for building AWS Greengrass components that integrate with IOTCONNECT. The SDK provides examples showing how to send telemetry, receive commands and perform OTA updates from IOTCONNECT.",https://github.com/avnet-iotconnect/iotc-python-greengrass-sdk,yes,
"GGL Basic - Health, Serial",sample,beta,iotc-python-greengrass-sdk,Python,"greengrass, telemetry, commands, ota",FRDM-IMX93,"Python SDK for building AWS Greengrass components that integrate with IOTCONNECT. The SDK provides examples showing how to send telemetry, receive commands and perform OTA updates from IOTCONNECT.",https://github.com/avnet-iotconnect/iotc-python-greengrass-sdk,yes,
"GGL Basic - Health, Serial",sample,beta,iotc-python-greengrass-sdk,Python,"greengrass, telemetry, commands, ota",STM32MP135F-DK,"Python SDK for building AWS Greengrass components that integrate with IOTCONNECT. The SDK provides examples showing how to send telemetry, receive commands and perform OTA updates from IOTCONNECT.",https://github.com/avnet-iotconnect/iotc-python-greengrass-sdk,yes,
"GGL Basic - Health, Serial",sample,beta,iotc-python-greengrass-sdk,Python,"greengrass, telemetry, commands, ota",RPI5-4GB-SINGLE,"Python SDK for building AWS Greengrass components that integrate with IOTCONNECT. The SDK provides examples showing how to send telemetry, receive commands and perform OTA updates from IOTCONNECT.",https://github.com/avnet-iotconnect/iotc-python-greengrass-sdk,yes,
GGL Components - AI Vision Demo / PROTEUS BLE / SensorTileBox Pro BLE,sample,beta,iotc-python-greengrass-demos,Python,"greengrass, ai, vision, ble",STM32MP157F-DK2,"Collection of AWS Greengrass components built with the IOTCONNECT Python SDK. Includes an AI vision demo that detects objects using a connected camera and BLE demos that gather battery, accelerometer, gyroscope and temperature data from sensors and send it to IOTCONNECT.",https://github.com/avnet-iotconnect/iotc-python-greengrass-demos,yes,
GGL Components - AI Vision Demo / PROTEUS BLE / SensorTileBox Pro BLE,sample,beta,iotc-python-greengrass-demos,Python,"greengrass, ai, vision, ble",STM32MP135F-DK,"Collection of AWS Greengrass components built with the IOTCONNECT Python SDK. Includes an AI vision demo that detects objects using a connected camera and BLE demos that gather battery, accelerometer, gyroscope and temperature data from sensors and send it to IOTCONNECT.",https://github.com/avnet-iotconnect/iotc-python-greengrass-demos,yes,
GGL Components - AI Vision Demo / PROTEUS BLE / SensorTileBox Pro BLE,sample,beta,iotc-python-greengrass-demos,Python,"greengrass, ai, vision, ble",STM32MP257F-DK,"Collection of AWS Greengrass components built with the IOTCONNECT Python SDK. Includes an AI vision demo that detects objects using a connected camera and BLE demos that gather battery, accelerometer, gyroscope and temperature data from sensors and send it to IOTCONNECT.",https://github.com/avnet-iotconnect/iotc-python-greengrass-demos,yes,
Hand-Gesture Robotics Control,sample,beta,,Python,"ai, vision, gesture, robotics",AES-QCS6490-DK-G,Controlling a wheeled vehicle in ROS2.  CV Controller using Edge Impulse custom model to detect Face and Hands (open and close).  Demonstration running at 45FPS,https://www.hackster.io/538636/hand-controlled-robot-car-5324ec,yes,
Image Classification and Remote Training,sample,beta,iotc-st-image-classification,Python,"edge-ai, vision, mpu, ota",STM32MP257F-DK,"Image classification demo for the STM32MP2 platform. The project converts a TensorFlow model to TFLite, deploys it via IOTCONNECT OTA and performs inference on images from a USB or MIPI camera. It includes instructions for flashing the device, setting up the camera and running the application using a MobileNet V2 model.",https://github.com/avnet-iotconnect/iotc-st-image-classification,yes,
ISP,sample,beta,iotc-isp-tune-stm32,Python,"vision, telemetry, sensors, mpu",STM32MP257F-DK,"Demonstration of remote ISP tuning using IOTCONNECT. On STM32MP257F Discovery Kit it allows users to stream live video, adjust image signal processor parameters like exposure and gain, and view real‑time telemetry from the image sensor through a cloud dashboard.",https://github.com/avnet-iotconnect/iotc-isp-tune-stm32,yes,
LoRaWAN Sensor Monitoring,sample,beta,iotc-lora-demos,C,"lora, telemetry, sensors, gateway","EK-RA2L1, FPB-RA0E1, FPB-RA2E1, WIRNET-ISTATION","Guide for onboarding LoRaWAN devices to IOTCONNECT. It walks through creating templates and configuring device attributes such as temperature, pressure, humidity and accelerometer for ST ASTRA1B and NUCLEO-WL55JC boards, creating LoRaWAN devices in the portal and sending telemetry and commands.",https://github.com/avnet-iotconnect/iotc-lora-demos,yes,
Machine Monitoring,sample,beta,iotc-freertos-ck-ra6m5-v2-pmod,C,"wifi, telemetry, commands, predictive-maintenance",CK-RA6M5,Example project for the Renesas CK‑RA6M5 v2 Cloud Kit. It uses an IOTCONNECT AT‑command‑enabled Wi‑Fi module (DA16600) to connect the board to IOTCONNECT. The demo sends telemetry and supports commands such as toggling the red LED and setting the LED blink frequency on the board.,https://github.com/avnet-iotconnect/iotc-freertos-ck-ra6m5-v2-pmod,yes,
Managing Edge AI:  RZBoard V2L,sample,beta,meta-iotconnect-docs,Python,"ai, vision, edge-ai, telemetry",AES-RZB-V2L-SK-G,"Quickstart guide for connecting the Renesas RZBoard V2L to IOTCONNECT and running the on‑board AI camera demo. The document covers flashing the SD card image, configuring the board and IOTCONNECT account, and using an attached USB camera for object recognition with real‑time telemetry streamed to IOTCONNECT.",https://github.com/avnet-iotconnect/meta-iotconnect-docs/blob/main/QuickStart/RZBoardV2L.md,yes,
Multi Stream Video and AI,sample,beta,,Python,"ai, vision, edge-ai, npu",Vision AI-KIT IQ9,"The Vision AI Kit IQ9 Demonstrates 9 conncurent video feeds, decoded with various AI models running in real time.",https://www.youtube.com/watch?v=mNAb2_xOkrs,yes,
Nano Edge AI Anomaly Detection,sample,beta,proteus-neai-demo,Python,"edge-ai, anomaly-detection, sensors, predictive-maintenance","STEVAL-PROTEUS1, STM32MP157F-DK2",NEAI anomaly detection demo using the STM32MP157F Discovery Kit and the STEVAL‑PROTEUS1 sensor module. The application runs AI models on the edge to detect unusual patterns and reports anomalies to IOTCONNECT for real‑time monitoring.,https://github.com/avnet-iotconnect/proteus-neai-demo,yes,
Protected Hybrid Solar Inverter,sample,beta,iotc-azurertos-stm32-h5,C,"security, telemetry, commands, industrial",STM32H573I-DK,"Quick‑start application for the STM32H573I‑DK Discovery Kit using the IOTCONNECT Azure RTOS SDK. The guide demonstrates how to program the board, provision secure credentials using STM32 Trust TEE and connect the device to IOTCONNECT. It includes step‑by‑step instructions for flashing the demo firmware and configuring IOTCONNECT templates and devices.",https://github.com/avnet-iotconnect/iotc-azurertos-stm32-h5/tree/solar-demo,yes,
PSOC6 AI-Kit Fall Detect,sample,beta,avnet-iotc-mtb-ai-fall-detection,C,"edge-AI, fall_det, imu",CY8CKIT-062S2-AI,This fall detection demo integrates Infineon's ModusToolbox™ machine‑learning flow with Avnet's IOTCONNECT platform. The application uses data from the on‑board inertial measurement unit (IMU) to recognise when a person has fallen and reports these events to IOTCONNECT.,https://github.com/avnet-iotconnect/avnet-iotc-mtb-ai-fall-detection,yes,
PSOC6 AI-Kit Gesture Detect,sample,beta,avnet-iotc-mtb-ai-imagimob-rm,C,"edge-AI, gesture_det, radar",CY8CKIT-062S2-AI,"This project demonstrates ModusToolbox™ machine learning with Imagimob ready models, combining audio and radar sensor data. It can detect a variety of audio events such as sirens, baby cry, alarms, coughs and snoring, and also recognises hand gestures using the board's radar sensor.",https://github.com/avnet-iotconnect/avnet-iotc-mtb-ai-imagimob-rm,yes,
PSOC6 AI-Kit Ready Models,sample,beta,avnet-iotc-mtb-ai-imagimob-rm,C,"edge-AI, audio, radar, imu",CY8CKIT-062S2-AI,"This project demonstrates ModusToolbox™ machine learning with Imagimob ready models, combining audio and radar sensor data. It can detect a variety of audio events such as sirens, baby cry, alarms, coughs and snoring, and also recognises hand gestures using the board's radar sensor.",https://github.com/avnet-iotconnect/avnet-iotc-mtb-ai-imagimob-rm,yes,
PSOC6 AI-Kit Siren Detection,sample,beta,avnet-iotc-mtb-ai-imagimob-rm,C,"edge-AI, siren_det, audio",CY8CKIT-062S2-AI,"This project demonstrates ModusToolbox™ machine learning with Imagimob ready models, combining audio and radar sensor data. It can detect a variety of audio events such as sirens, baby cry, alarms, coughs and snoring, and also recognises hand gestures using the board's radar sensor.",https://github.com/avnet-iotconnect/avnet-iotc-mtb-ai-imagimob-rm,yes,
PSOC6 Xensiv CO2 Monitor,sample,beta,avnet-iotc-mtb-xensiv-example,C,"enviro-sense, CO2",KITCSKPASCO2TOBO1,"Quickstart for Infineon’s XENSIV PAS CO2 kit. The guide shows how to connect the sensor board to IOTCONNECT using the Optiga Trust M secure element for hardware security. It walks through flashing the PSoC6 Wi‑Fi/Bluetooth controller, provisioning the secure element and registering the device on IOTCONNECT, then demonstrates streaming CO₂ measurements to an IOTCONNECT dashboard.",https://github.com/avnet-iotconnect/avnet-iotc-mtb-xensiv-example/blob/main/QUICKSTART.md,yes,
QCS6490-Vision-AI-Demo,sample,beta,QCS6490-Vision-AI-Demo,Python,"ai, vision, gesture, robotics",AES-QCS6490-DK-G,On-device hand-gesture recognition using Qualcomm’s advanced CPU/GPU/NPU AI engine. The system translates left- and right-hand movements into real-time robotic control signals while streaming the results to IoTConnect.,https://github.com/Avnet/QCS6490-Vision-AI-Demo,yes,
RA Cloud Ready Platforms,sample,beta,iotc-freertos-ek-ra8m1-pmod,C,"wifi, ble, telemetry, commands","EK-RA6M4, EK-RA8M1",Example project for the Renesas EK‑RA8M1 evaluation kit that uses a DA16600 Wi‑Fi/BLE module to connect to IOTCONNECT. The application streams telemetry and allows controlling the on‑board LEDs via IOTCONNECT commands. It includes guidance for configuring IOTCONNECT credentials and automatically provisioning the Wi‑Fi module.,https://github.com/avnet-iotconnect/iotc-freertos-ek-ra8m1-pmod/blob/main/QUICKSTART.md,yes,
RASyn Puck,sample,beta,RASynBoard-Out-of-Box-Demo,C,"ai, edge-ai, audio, sensors",AES-RASYNB-120,The RASynPuck demo was created to showcase the RASynBoard and Avnet's Cloud Solution IOTCONNECT.,https://github.com/Avnet/RASynBoard-Out-of-Box-Demo/blob/rasynboard_v2_tiny/docs/RASynPuckDemo.md,yes,
SensorTile.Box Pro with Bridge Mobile App,sample,beta,iotc-gateway-mobile-app,Mobile,"ble, gateway, telemetry, sensors","STEVAL-MKBOXPRO, IOTC-BRIDGE-APP","Mobile phone/tablet application that acts as a Bluetooth gateway for IOTCONNECT. The app connects to edge devices such as the ST SensorTile.box Pro, captures telemetry via BLE and forwards it to IOTCONNECT. It guides users through account setup, device onboarding and viewing live dashboards on the platform.",https://github.com/avnet-iotconnect/iotc-gateway-mobile-app,yes,
Sidewalk,sample,beta,iotc-stm32-sidewalk,Python,"lora, ble, telemetry",NUCLEO-WL55JC,"This demo shows how STMicroelectronics' STM32WBA (BLE) and STM32WL (LoRa) work together as a unified device for Amazon Sidewalk. IOTCONNECT simplifies onboarding by integrating these devices as a single wireless type, streamlining deployments compared to the traditional AWS console process.",https://github.com/avnet-iotconnect/iotc-stm32-sidewalk,yes,
Smart Asset Monitoring,sample,beta,,Python,"industrial, telemetry, anomaly-detection, predictive-maintenance","MPFS-DISCO-KIT, EV63J76A","This demo showcases a smart factory monitoring system using embedded devices to simulate real industrial equipment such as pumps, compressors, cranes, and inspection systems. Telemetry is securely transmitted to the cloud, where real-time KPIs—like utilization, duty cycles, rejection rates, and anomaly detection—are calculated using DURATION-based logic. The system demonstrates how manufacturers can gain operational insights, trigger alerts, and improve uptime without requiring physical assets on-site.",https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-polarfire-soc-dk,yes,
Smart Tractor,sample,beta,,Python,"agriculture, telemetry, commands, mpu",MSC SM2S-IMX8PLUS,"Connected Tractor demostration enabling the features of the tractor to be remotely monitored and controlled.  Demo is highlighting SimpleFlex, the intelligent combination of a standard Computer-On-Modules with a standard carrier board. It combines the advantages of Standard SBC and Custom SBC by choosing the COM from a huge portfolio of CPU and memory configurations.  The app will run on multiple SMARC devices from Tria.",https://www.tria-technologies.com/product/tria-sm2s-imx8plus/,yes,
SPARK Smart Parking Demo,sample,beta,SPARK,C++,"ai, vision, smart-city, ev-charging",AES-RZB-V2L-SK-G,"SPARK is a smart parking and EV charging demo running on the Renesas RZBoard V2L. It uses a convolutional neural network to detect vehicle occupancy in real‑time, scales to hundreds of parking spots and can stream analytics data to IOTCONNECT or display it locally via HDMI.",https://github.com/Avnet/SPARK,yes,
STM32N6 Edge AI Demos,sample,beta,iotc-stm32-n6-demos,C,"ai, vision, edge-ai, npu",STM32N6570-DK,Edge AI demo for the STM32N6 platform demonstrating object detection using an embedded vision model. The application streams detection results to IOTCONNECT where bounding boxes and labels can be visualised.,https://github.com/avnet-iotconnect/iotc-stm32-n6-demos/blob/main/doc/QUICKSTART.md,yes,
STM32N6 Edge AI Object Detection,sample,beta,iotc-stm32-n6-demos,C,"ai, vision, edge-ai, npu",STM32N6570-DK,"This demo showcases a new STMicroelectronics microcontroller with an integrated NPU for edge AI, using the ST Cube AI library for real-time person detection. The system assigns a unique ID to the first person in the frame and dynamically tracks them using a motorized camera base, keeping the individual centered in the frame.",https://github.com/avnet-iotconnect/iotc-stm32-n6-demos,yes,
STSAFE Secure Authentication,sample,beta,stsafe-demo,Python,"security, telemetry",B-U585I-IOT02A,"Hardware-anchored device authentication using the STSAFE-A secure element on the STM32U5. The board provisions cryptographic credentials and connects to /IOTCONNECT with a verified identity, demonstrating telemetry and command flows built on a hardware root of trust.",https://github.com/mlamp99/stsafe-demo,yes,
Telehealth,sample,beta,iotc-gateway-mobile-app,Mobile,"ble, gateway, healthcare, telemetry","EV19J06A, IOTC-BRIDGE-APP","Mobile phone/tablet application that acts as a Bluetooth gateway for IOTCONNECT. The app connects to edge devices such as the ST SensorTile.box Pro, captures telemetry via BLE and forwards it to IOTCONNECT. It guides users through account setup, device onboarding and viewing live dashboards on the platform.",https://github.com/avnet-iotconnect/iotc-gateway-mobile-app,yes,
Urban Sound Event Classifier,sample,beta,iotc-freertos-stm32-u5-ml-demo,C,"ai, audio, edge-ai, smart-city",B-U585I-IOT02A,"Smart‑city noise detection demo for the STM32U5 MCU. The system uses machine‑learning to classify sounds such as alarms, dog barks, speech and car horns and runs inference locally on the microcontroller. Recognised events and confidence scores are sent to IOTCONNECT for visualisation.",https://github.com/avnet-iotconnect/iotc-freertos-stm32-u5-ml-demo,yes,
Vision AI Demonstrator,sample,beta,meta-iotconnect-docs,Python,"ai, vision, edge-ai, npu",STM32MP257F-EV1,"This demo highlights the STM32MP257 evaluation kit's real-time image classification capabilities using an S3 bucket as the image source. Leveraging its Neural-ART Accelerator, the device processes images locally, sending results with labels and confidence scores to the cloud for centralized analysis",https://github.com/avnet-iotconnect/meta-iotconnect-docs/blob/main/QuickStart/ST/STM32MP257/demo-iotc-x-linux-ai/QuickStart_Webinar.md,yes,
WFI-32 Sensor Clicks,sample,beta,iotc-azurertos-sdk,C,"clicks, wifi, sensors, hvac","EV36W50A, TE-MIKROBUS-CLICKS, AMPHENOL-MIKROBUS-CLICKS",This example connects the WFI32-IoT Development Board to Avnet's IOTCONNECT platform built on Microsoft Azure and uses Azure RTOS to simplify cloud firmware development.  The WFI32 board features integrated sensors and supports mikroBUS™ expansion for additional click‑board sensors.,https://github.com/avnet-iotconnect/iotc-azurertos-sdk/tree/main/samples/wfi32iot,yes,
Worker Safety Compliance,sample,beta,iotc-python-lite-sdk-demos,Python,edge-AI,FRDM-IMX93,"Quickstart demo for the NXP FRDM i.MX 93 platform using the IOTCONNECT Python Lite SDK. The board features tri‑radio connectivity (Wi‑Fi 6, Bluetooth 5.4 and 802.15.4), enabling rapid development of IoT applications. This project shows how to push telemetry to IOTCONNECT and receive commands from the cloud.",https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/nxp-frdm-imx-93,yes,
Vision AI Robotic Arm,sample,beta,iotc-tria-vision-ai-kit-robotic-arm,Python,"vision, robotics, edge-ai, npu",AES-QCS6490-DK-G,Vision-guided pick-and-place demo pairing the TRIA Vision AI Kit (QCS6490) with a Hiwonder xArm robotic arm. On-device object detection on the Qualcomm NPU drives the arm in real time while results and control telemetry stream to /IOTCONNECT.,https://github.com/avnet-iotconnect/iotc-tria-vision-ai-kit-robotic-arm,yes,
PSOC Edge AI Vision WebRTC,sample,beta,avnet-iotc-mtb-psoc-edge-aivision-webrtc,C,"vision, edge-ai, modustoolbox, npu, webrtc",KIT_PSE84_EVAL,DEEPCRAFT AI Vision demo on the Infineon PSOC Edge E84 that streams live camera and inference results over WebRTC. Built with ModusToolbox and integrated with /IOTCONNECT for cloud monitoring and control.,https://github.com/avnet-iotconnect/avnet-iotc-mtb-psoc-edge-aivision-webrtc,yes,
PSOC Edge Motion Sensing,sample,beta,avnet-iotc-mtb-psoc-edge-motion,C,"edge-ai, sensors, gesture, modustoolbox",KIT_PSE84_EVAL,DEEPCRAFT motion and IMU demo for the Infineon PSOC Edge E84 that classifies movement patterns locally and reports events to /IOTCONNECT. A ModusToolbox starting point for gesture and activity-aware applications.,https://github.com/avnet-iotconnect/avnet-iotc-mtb-psoc-edge-motion,yes,
PSOC Edge DEEPCRAFT Ready Models,sample,beta,avnet-iotc-mtb-psoc-edge-rm,C,"edge-ai, audio, sensors, modustoolbox","KIT_PSE84_EVAL, KITPSE84AITOBO1",Runs Infineon DEEPCRAFT Ready Models on the PSOC Edge E84 to detect audio and sensor events out of the box. Integrated with /IOTCONNECT for live event visualization and device management.,https://github.com/avnet-iotconnect/avnet-iotc-mtb-psoc-edge-rm,yes,
